업종,광고 이름,연령,성,광고 게재,도달,노출,클릭(전체),통화,CPC(전체),지출 금액 (KRW),시작,종료,CTR(전체),"CPM(1,000회 노출당 비용)",CPC(링크 클릭당 비용),보고 시작,보고 종료
식음료,학생편_끌,18-24,male,active,439099,1922399,697,KRW,3543.328551,2469700,2026-03-01,2026-03-31,0.03625678,1284.696881,6603.475936,2026-03-01,2026-03-17
식음료,직장인편_끌,18-24,male,active,460341,1883907,746,KRW,3230.703753,2410105,2026-03-01,2026-03-31,0.03959856,1279.312089,5578.946759,2026-03-01,2026-03-17
식음료,학생편_끌,25-34,male,active,506390,1819672,631,KRW,3713.77813,2343394,2026-03-01,2026-03-31,0.03467658,1287.81121,7188.325153,2026-03-01,2026-03-17
식음료,직장인편_끌,25-34,male,active,503145,1606059,583,KRW,3530.572899,2058324,2026-03-01,2026-03-31,0.03630004,1281.599244,6861.08,2026-03-01,2026-03-17
뷰티,통증(인터림),18-24,female,active,254589,450690,629,KRW,3076.130366,1934886,2026-03-01,2026-03-31,0.13956378,4293.163815,4684.953995,2026-03-01,2026-03-17
식음료,0225_full,25-34,female,active,238198,366866,1295,KRW,1471.796139,1905976,2026-03-01,2026-03-31,0.35298992,5195.292014,2614.507545,2026-03-01,2026-03-17
뷰티,기업PR_1126,45-54,female,active,257363,430891,504,KRW,3709.35119,1869513,2026-03-01,2026-03-31,0.11696694,4338.714431,7822.230126,2026-03-01,2026-03-17
뷰티,15초_전지현 2.0_세로,35-44,female,active,68440,90506,377,KRW,4787.005305,1804701,2026-03-04,2026-03-31,0.41654697,19940.12552,6266.322917,2026-03-01,2026-03-17
식음료,국물라볶이x페이커,25-34,male,not_delivering,496692,803966,693,KRW,2561.575758,1775172,2026-03-03,2026-03-15,0.08619768,2208.018747,7396.55,2026-03-01,2026-03-17
뷰티,15초_전지현 2.0_세로,35-44,female,active,64678,86200,341,KRW,5151.923754,1756806,2026-03-04,2026-03-31,0.39559165,20380.58005,6783.034749,2026-03-01,2026-03-17
뷰티,기업PR_1126,55-64,female,active,130148,395046,500,KRW,3447.17,1723585,2026-03-01,2026-03-31,0.12656754,4362.998233,8054.135514,2026-03-01,2026-03-17
뷰티,통증(인터림),55-64,female,active,164524,342145,444,KRW,3523.754505,1564547,2026-03-01,2026-03-31,0.12976954,4572.760087,6743.737069,2026-03-01,2026-03-17
뷰티,무빙포스터 FDA 승인2(4:5)_re,18-24,female,active,59511,265573,359,KRW,4353.78273,1563008,2026-03-01,2026-03-31,0.1351794,5885.417569,7104.581818,2026-03-01,2026-03-17
뷰티,통증(인터림),45-54,female,active,214477,326762,391,KRW,3940.122762,1540588,2026-03-01,2026-03-31,0.11965896,4714.709789,6583.709402,2026-03-01,2026-03-17
뷰티,무빙포스터 FDA 승인1(4:5) _re,18-24,female,active,67367,258381,315,KRW,4726.190476,1488750,2026-03-01,2026-03-31,0.12191299,5761.840073,7634.615385,2026-03-01,2026-03-17
뷰티,15초_이민호 2.0,35-44,male,active,85835,150940,196,KRW,7126.943878,1396881,2026-03-04,2026-03-31,0.12985292,9254.544852,10999.06299,2026-03-01,2026-03-17
뷰티,15초_이민호 2.0,35-44,male,active,85031,148459,187,KRW,7380.775401,1380205,2026-03-04,2026-03-31,0.1259607,9296.876579,11501.70833,2026-03-01,2026-03-17
식음료,세로형 (1/28 교체),25-34,male,not_delivering,641390,1057022,652,KRW,2064.699387,1346184,2026-03-01,2026-03-04,0.06168273,1273.562897,3066.47836,2026-03-01,2026-03-17
식음료,버라이어티팩_3월_사용_수정,25-34,male,active,159363,396315,5425,KRW,247.0097696,1340028,2026-03-02,2026-03-31,1.36886063,3381.219485,248.0614587,2026-03-01,2026-03-17
식음료,직장인편_끌,18-24,female,active,313188,1041145,364,KRW,3665.755495,1334335,2026-03-01,2026-03-31,0.03496151,1281.603427,6540.857843,2026-03-01,2026-03-17
식음료,0225_full,18-24,female,active,184020,301193,723,KRW,1804.853389,1304909,2026-03-01,2026-03-31,0.24004542,4332.467886,3565.325137,2026-03-01,2026-03-17
뷰티,APAC 2.0 가로형 - 사본,45-54,female,active,156939,330694,502,KRW,2501.326693,1255666,2026-03-01,2026-03-31,0.15180197,3797.063146,28537.86364,2026-03-01,2026-03-17
뷰티,무빙포스터 FDA 승인2(4:5)_re,25-34,female,active,69848,194941,254,KRW,4811.34252,1222081,2026-03-01,2026-03-31,0.13029583,6268.978819,8093.251656,2026-03-01,2026-03-17
식음료,콰삭킹_6초,25-34,male,not_delivering,81405,265335,2692,KRW,453.8573551,1221784,2026-02-16,2026-03-17,1.01456649,4604.684644,490.0858404,2026-03-01,2026-03-17
뷰티,15초_전지현 2.0_세로,45-54,female,active,52307,71924,221,KRW,5305.533937,1172523,2026-03-04,2026-03-31,0.30726878,16302.2496,7328.26875,2026-03-01,2026-03-17
뷰티,15초_전지현 2.0_세로,45-54,female,active,54917,74308,221,KRW,5281.41629,1167193,2026-03-04,2026-03-31,0.29741078,15707.50121,7117.030488,2026-03-01,2026-03-17
식음료,세로형 (1/28 교체),18-24,male,not_delivering,532481,927950,588,KRW,1978.484694,1163349,2026-03-01,2026-03-04,0.06336548,1253.676383,2783.131579,2026-03-01,2026-03-17
식음료,버라이어티팩_3월_사용_수정,25-34,female,active,127489,278031,4562,KRW,252.292854,1150960,2026-03-02,2026-03-31,1.64082422,4139.682266,256.2243989,2026-03-01,2026-03-17
식음료,BLC_img_md_alc_wsk_fp-s_o_EB_0_0201,35-44,male,inactive,78641,172491,1410,KRW,813.5964539,1147171,2025-11-14,Ongoing,0.81743395,6650.613655,788.9759285,2026-03-01,2026-03-17
식음료,국물라볶이x페이커,18-24,male,not_delivering,335487,625714,489,KRW,2327.838446,1138313,2026-03-03,2026-03-15,0.07815072,1819.22252,6542.028736,2026-03-01,2026-03-17
식음료,학생편_끌,18-24,female,active,258704,849723,327,KRW,3343.755352,1093408,2026-03-01,2026-03-31,0.03848313,1286.781692,5724.649215,2026-03-01,2026-03-17
식음료,0225_full,25-34,male,active,148815,234321,653,KRW,1638.316998,1069821,2026-03-01,2026-03-31,0.27867754,4565.621519,3271.623853,2026-03-01,2026-03-17
뷰티,통증(인터림),25-34,female,active,147342,232336,290,KRW,3670.606897,1064476,2026-03-01,2026-03-31,0.12481923,4581.623166,5785.195652,2026-03-01,2026-03-17
뷰티,기업PR_1126,35-44,female,active,167247,262700,312,KRW,3352.391026,1045946,2026-03-01,2026-03-31,0.11876665,3981.522649,6836.248366,2026-03-01,2026-03-17
뷰티,15초_전지현 2.0_세로,35-44,female,active,28537,40513,158,KRW,6536.677215,1032795,2026-03-04,2026-03-31,0.38999827,25492.9282,8328.991935,2026-03-01,2026-03-17
